id,title,genre,rating,year,director,description,cast,duration
15,Spirited Away,Animation,8.6,2001,Hayao Miyazaki,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods and witches.","Rumi Hiiragi, Miyu Irino, Mari Natsuki",125
16,Saving Private Ryan,War,8.6,1998,Steven Spielberg,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper.","Tom Hanks, Matt Damon, Tom Sizemore",169
17,The Green Mile,Crime,8.6,1999,Frank Darabont,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder who has a mysterious gift.","Tom Hanks, Michael Clarke Duncan, David Morse",189
18,Interstellar,Sci-Fi,8.6,2014,Christopher Nolan,"A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.","Matthew McConaughey, Anne Hathaway, Jessica Chastain",169
19,Life Is Beautiful,Comedy,8.6,1997,Roberto Benigni,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses humor to protect his son.","Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini",116
20,Parasite,Thriller,8.6,2019,Bong Joon Ho,"A poor family schemes to become employed by a wealthy family by infiltrating their household by posing as unrelated individuals.","Kang-ho Song, Sun-kyun Lee, Yeo-jeong Jo",132
21,The Departed,Crime,8.5,2006,Martin Scorsese,"An undercover cop and a police informant play a cat and mouse game in the Boston criminal underworld.","Leonardo DiCaprio, Matt Damon, Jack Nicholson",151
22,The Prestige,Mystery,8.5,2006,Christopher Nolan,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have.","Christian Bale, Hugh Jackman, Scarlett Johansson",130
23,Memento,Mystery,8.4,2000,Christopher Nolan,"A man with short-term memory loss attempts to track down his wife's murderer using notes and tattoos.","Guy Pearce, Carrie-Anne Moss, Joe Pantoliano",113
24,Apocalypse Now,War,8.4,1979,Francis Ford Coppola,"A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel.","Martin Sheen, Marlon Brando, Robert Duvall",147
25,Gladiator,Action,8.5,2000,Ridley Scott,"A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family.","Russell Crowe, Joaquin Phoenix, Connie Nielsen",155
26,The Lion King,Animation,8.5,1994,Roger Allers,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Matthew Broderick, Jeremy Irons, James Earl Jones",88
27,Alien,Horror,8.4,1979,Ridley Scott,"After a space merchant vessel receives an unknown transmission, they land on a planet and encounter a deadly creature.","Sigourney Weaver, Tom Skerritt, John Hurt",117
28,Sunset Boulevard,Drama,8.4,1950,Billy Wilder,"A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.","William Holden, Gloria Swanson, Erich von Stroheim",110
29,American Beauty,Drama,8.3,1999,Sam Mendes,"A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.","Kevin Spacey, Annette Bening, Thora Birch",122
30,Dr. Strangelove,Comedy,8.4,1964,Stanley Kubrick,"An insane American general triggers a path to nuclear holocaust that a war room full of politicians try to stop.","Peter Sellers, George C. Scott, Sterling Hayden",95
31,Casablanca,Romance,8.5,1942,Michael Curtiz,"A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover escape the Nazis.","Humphrey Bogart, Ingrid Bergman, Paul Henreid",102
32,Taxi Driver,Crime,8.2,1976,Martin Scorsese,"A mentally unstable veteran works as a nighttime taxi driver in New York City, becoming increasingly detached from reality.","Robert De Niro, Jodie Foster, Cybill Shepherd",114
33,Vertigo,Mystery,8.3,1958,Alfred Hitchcock,"A former police detective suffering from acrophobia investigates the strange activities of an old friend's wife.","James Stewart, Kim Novak, Barbara Bel Geddes",128
34,2001: A Space Odyssey,Sci-Fi,8.3,1968,Stanley Kubrick,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with HAL 9000.","Keir Dullea, Gary Lockwood, William Sylvester",149
35,North by Northwest,Thriller,8.3,1959,Alfred Hitchcock,"A New York City advertising executive goes on the run after being mistaken for a government agent by foreign spies.","Cary Grant, Eva Marie Saint, James Mason",136
36,Citizen Kane,Drama,8.3,1941,Orson Welles,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to discover the meaning of his final word.","Orson Welles, Joseph Cotten, Dorothy Comingore",119
37,Psycho,Horror,8.5,1960,Alfred Hitchcock,"A Phoenix secretary embezzles money from her employer's client and encounters a young motel proprietor too long under his mother's domination.","Anthony Perkins, Janet Leigh, Vera Miles",109
38,The Godfather Part II,Crime,9.0,1974,Francis Ford Coppola,"The early life of Vito Corleone is portrayed while his son Michael expands and tightens his grip on the family crime syndicate.","Al Pacino, Robert De Niro, Robert Duvall",202
39,Rear Window,Thriller,8.5,1954,Alfred Hitchcock,"A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.","James Stewart, Grace Kelly, Wendell Corey",112
40,Lawrence of Arabia,Adventure,8.3,1962,David Lean,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse tribes during the Arab Revolt.","Peter O'Toole, Alec Guinness, Anthony Quinn",228
41,To Kill a Mockingbird,Drama,8.3,1962,Robert Mulligan,"Atticus Finch defends a black man against an undeserved rape charge, teaching his children about prejudice and justice.","Gregory Peck, Mary Badham, Phillip Alford",129
42,The Shining,Horror,8.4,1980,Stanley Kubrick,"A family heads to an isolated hotel where an evil and spiritual presence influences the father into violence.","Jack Nicholson, Shelley Duvall, Danny Lloyd",146
43,The Apartment,Comedy,8.3,1960,Billy Wilder,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts.","Jack Lemmon, Shirley MacLaine, Fred MacMurray",125
44,Some Like It Hot,Comedy,8.2,1959,Billy Wilder,"After witnessing a mafia hit, two musicians disguise themselves as women and join an all-female band.","Marilyn Monroe, Tony Curtis, Jack Lemmon",121
45,Singin' in the Rain,Musical,8.3,1952,Gene Kelly,"A silent film production company transitions to sound films, while a silent film star faces the end of his career.","Gene Kelly, Donald O'Connor, Debbie Reynolds",103
46,Chinatown,Mystery,8.2,1974,Roman Polanski,"A private detective investigating an adultery case stumbles into a web of corruption involving the city's water supply.","Jack Nicholson, Faye Dunaway, John Huston",130
47,The Third Man,Thriller,8.2,1949,Carol Reed,"Pulp novelist Holly Martins travels to shadowy post-war Vienna only to find himself investigating his friend Harry Lime.","Orson Welles, Joseph Cotten, Alida Valli",93
48,Amadeus,Biography,8.3,1984,Milos Forman,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporary composer.","F. Murray Abraham, Tom Hulce, Elizabeth Berridge",160
49,On the Waterfront,Drama,8.1,1954,Elia Kazan,"An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.","Marlon Brando, Karl Malden, Lee J. Cobb",108
50,The Treasure of the Sierra Madre,Adventure,8.2,1948,John Huston,"Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold.","Humphrey Bogart, Walter Huston, Tim Holt",126
51,The Bridge on the River Kwai,War,8.1,1957,David Lean,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors.","William Holden, Alec Guinness, Jack Hawkins",161
52,Raging Bull,Biography,8.2,1980,Martin Scorsese,"The life of boxer Jake LaMotta as he rises to stardom, falls into depression, and eventually finds redemption.","Robert De Niro, Cathy Moriarty, Joe Pesci",129
53,Singing in the Rain,Musical,8.3,1952,Stanley Donen,"A silent film production company and cast make a difficult transition to sound films.","Gene Kelly, Donald O'Connor, Debbie Reynolds",103
54,The Wizard of Oz,Fantasy,8.0,1939,Victor Fleming,"Dorothy is swept away from Kansas to the magical land of Oz in a tornado and embarks on a quest to see the Wizard.","Judy Garland, Frank Morgan, Ray Bolger",102
55,Double Indemnity,Crime,8.3,1944,Billy Wilder,"An insurance representative lets himself be talked by a seductive housewife into a murder-insurance fraud scheme.","Fred MacMurray, Barbara Stanwyck, Edward G. Robinson",107
56,Bicycle Thieves,Drama,8.3,1948,Vittorio De Sica,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work.","Lamberto Maggiorani, Enzo Staiola, Lianella Carell",93
57,The General,Comedy,8.2,1926,Clyde Bruckman,"During the American Civil War, a man pursues the men who stole his locomotive and kidnapped his girlfriend.","Buster Keaton, Marion Mack, Glen Cavender",67
58,Ikiru,Drama,8.3,1952,Akira Kurosawa,"A bureaucrat tries to find meaning in his life after discovering he has stomach cancer.","Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori",143
59,City Lights,Romance,8.5,1931,Charles Chaplin,"The Tramp struggles to help a blind flower girl he has fallen in love with.","Charles Chaplin, Virginia Cherrill, Florence Lee",87
60,Mr. Smith Goes to Washington,Drama,8.1,1939,Frank Capra,"A naive man is appointed to fill a vacancy in the United States Senate and fights against a corrupt political system.","James Stewart, Jean Arthur, Claude Rains",129
61,Modern Times,Comedy,8.5,1936,Charles Chaplin,"The Tramp struggles to live in modern industrial society with his eccentric antics.","Charles Chaplin, Paulette Goddard, Henry Bergman",87
62,Whiplash,Drama,8.5,2014,Damien Chazelle,"A promising young drummer enrolls at a cut-throat music conservatory where his dreams are mentored by an instructor.","Miles Teller, J.K. Simmons, Melissa Benoist",106
63,The Pianist,Biography,8.5,2002,Roman Polanski,"A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto during World War II.","Adrien Brody, Thomas Kretschmann, Frank Finlay",150
64,Goodfellas,Biography,8.7,1990,Martin Scorsese,"The story of Henry Hill and his life in the mob, covering his relationship with his wife and his mob partners.","Robert De Niro, Ray Liotta, Joe Pesci",146
65,Once Upon a Time in the West,Western,8.5,1968,Sergio Leone,"A mysterious stranger joins a recently widowed homesteader and a notorious desperado in a final showdown.","Henry Fonda, Charles Bronson, Claudia Cardinale",165
66,American History X,Drama,8.5,1998,Tony Kaye,"A former neo-Nazi skinhead tries to prevent his younger brother from going down the same wrong path.","Edward Norton, Edward Furlong, Beverly D'Angelo",119
67,The Usual Suspects,Mystery,8.5,1995,Bryan Singer,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat.","Kevin Spacey, Gabriel Byrne, Chazz Palminteri",106
68,Léon: The Professional,Action,8.5,1994,Luc Besson,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered.","Jean Reno, Gary Oldman, Natalie Portman",110
69,Requiem for a Dream,Drama,8.3,2000,Darren Aronofsky,"The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.","Ellen Burstyn, Jared Leto, Jennifer Connelly",102
70,The Intouchables,Biography,8.5,2011,Olivier Nakache,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man to be his caregiver.","François Cluzet, Omar Sy, Anne Le Ny",112
71,Paths of Glory,War,8.4,1957,Stanley Kubrick,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.","Kirk Douglas, Ralph Meeker, Adolphe Menjou",88
72,Django Unchained,Western,8.4,2012,Quentin Tarantino,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio",165
73,The Great Dictator,Comedy,8.4,1940,Charles Chaplin,"Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.","Charles Chaplin, Paulette Goddard, Jack Oakie",125
74,M,Crime,8.3,1931,Fritz Lang,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.","Peter Lorre, Ellen Widmann, Inge Landgut",99
75,Witness for the Prosecution,Mystery,8.4,1957,Billy Wilder,"Sir Wilfrid defends Leonard Vole in a sensational murder trial where his self-possessed wife's testimony makes the case difficult.","Tyrone Power, Marlene Dietrich, Charles Laughton",116
76,Aliens,Action,8.3,1986,James Cameron,"Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years and must return to fight the alien queen.","Sigourney Weaver, Michael Biehn, Carrie Henn",137
77,Oldboy,Mystery,8.4,2003,Park Chan-wook,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor.","Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong",120
78,Once Upon a Time in America,Crime,8.3,1984,Sergio Leone,"A former Prohibition-era Jewish-American mobster returns to the Lower East Side of Manhattan over thirty years later.","Robert De Niro, James Woods, Elizabeth McGovern",229
79,Braveheart,Biography,8.3,1995,Mel Gibson,"Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from English rule.","Mel Gibson, Sophie Marceau, Patrick McGoohan",178
80,Das Boot,War,8.3,1981,Wolfgang Petersen,"The claustrophobic world of a WWII German U-boat; boredom, filth, and sheer terror.","Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann",149
81,Princess Mononoke,Animation,8.4,1997,Hayao Miyazaki,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and humans.","Yôji Matsuda, Yuriko Ishida, Yuki Amami",134
82,Avengers: Endgame,Action,8.4,2019,Anthony Russo,"After the devastating events of Infinity War, the Avengers assemble once more to reverse Thanos' actions.","Robert Downey Jr., Chris Evans, Mark Ruffalo",181
83,Reservoir Dogs,Crime,8.3,1992,Quentin Tarantino,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","Harvey Keitel, Tim Roth, Michael Madsen",99
84,Your Name,Animation,8.4,2016,Makoto Shinkai,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies.","Ryunosuke Kamiki, Mone Kamishiraishi, Masami Nagasawa",106
85,The Gold Rush,Comedy,8.2,1925,Charles Chaplin,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune.","Charles Chaplin, Mack Swain, Tom Murray",95
86,Green Book,Biography,8.2,2018,Peter Farrelly,"A working-class bouncer becomes the driver for an African-American classical pianist on a tour through the Deep South.","Viggo Mortensen, Mahershala Ali, Linda Cardellini",130
87,Full Metal Jacket,War,8.3,1987,Stanley Kubrick,"A pragmatic U.S. Marine observes the dehumanizing effects of the Vietnam War on his fellow recruits.","Matthew Modine, R. Lee Ermey, Vincent D'Onofrio",116
88,The Secret in Their Eyes,Mystery,8.2,2009,Juan José Campanella,"A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases.","Ricardo Darín, Soledad Villamil, Pablo Rago",129
89,My Neighbor Totoro,Animation,8.2,1988,Hayao Miyazaki,"When two girls move to the country to be near their ailing mother, they have adventures with the forest spirits who live nearby.","Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto",86
90,Howl's Moving Castle,Animation,8.2,2004,Hayao Miyazaki,"When an unconfident young woman is cursed with an old body by a spiteful witch, she must find a way to break the spell.","Chieko Baisho, Takuya Kimura, Akihiro Miwa",119
91,3 Idiots,Comedy,8.4,2009,Rajkumar Hirani,"Two friends search for their long lost companion while reminiscing about their college days.","Aamir Khan, Madhavan, Mona Singh",170
92,Toy Story,Animation,8.3,1995,John Lasseter,"A cowboy doll is profoundly threatened when a new spaceman action figure supplants him as top toy in a boy's bedroom.","Tom Hanks, Tim Allen, Don Rickles",81
93,Snatch,Crime,8.2,2000,Guy Ritchie,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, and amateur robbers complete for a precious stolen diamond.","Jason Statham, Brad Pitt, Benicio Del Toro",104
94,Monty Python and the Holy Grail,Comedy,8.2,1975,Terry Gilliam,"King Arthur and his knights embark on a low-budget search for the Grail, encountering many silly obstacles.","Graham Chapman, John Cleese, Eric Idle",91
95,Scarface,Crime,8.3,1983,Brian De Palma,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.","Al Pacino, Michelle Pfeiffer, Steven Bauer",170
96,The Hunt,Drama,8.3,2012,Thomas Vinterberg,"A teacher lives a lonely life, until the day he meets Lucas, who immediately cheers him up.","Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp",115
97,For a Few Dollars More,Western,8.2,1965,Sergio Leone,"Two bounty hunters with the same intentions team up to track down an outlaw with a massive bounty on his head.","Clint Eastwood, Lee Van Cleef, Gian Maria Volonté",132
98,L.A. Confidential,Crime,8.2,1997,Curtis Hanson,"As corruption grows in 1950s Los Angeles, three policemen investigate a series of murders with their own brand of justice.","Kevin Spacey, Russell Crowe, Guy Pearce",138
99,Heat,Crime,8.2,1995,Michael Mann,"A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.","Al Pacino, Robert De Niro, Val Kilmer",170
100,The Great Escape,Adventure,8.2,1963,John Sturges,"Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.","Steve McQueen, James Garner, Richard Attenborough",172
